fecha;canal;sku;descripcion;marca;categoria;cantidad;venta_bruta_clp;costo_total_clp;margen_clp;margen_pct;estado_orden;estado_despacho;fuente;num_pedido;num_suborden
2026-04-01;Falabella;R6315;Mochila de Padel Hada Negro;K-Fit;Pádel;1;10990.00;13518;-8171.11;-0.8848;Regular;Sin Información;wivo;3230447560;3230447560
2026-04-01;Falabella;R6316;Bolso de Padel Zowie Dorado;K-Fit;Pádel;1;12990.00;12441;-5968.06;-0.5467;Regular;Sin Información;wivo;3230482402;3230482402
2026-04-01;Falabella;R6316;Bolso de Padel Zowie Dorado;K-Fit;Pádel;1;12990.00;12441;-5968.06;-0.5467;Regular;Entregado;wivo;3230482402;3230482402
2026-04-01;Falabella;R6319;Mochila de Padel Lucio Morado;K-Fit;Pádel;1;9990.00;7758;-3711.10;-0.3536;Regular;Entregado;wivo;3230536930;3230536930
2026-04-01;Falabella;R6319;Mochila de Padel Lucio Morado;K-Fit;Pádel;1;9990.00;7758;-3711.10;-0.3536;Regular;Sin Información;wivo;3230536930;3230536930
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;32990.00;16328;32.34;0.0011;Regular;Sin Información;wivo;3230506965;3230506965
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;32990.00;16328;2666.62;0.0809;Regular;Sin Información;wivo;3230463309;3230463309
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;32990.00;16328;32.34;0.0011;Regular;Sin Información;wivo;3230591588;3230591588
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;32990.00;16328;32.34;0.0011;Regular;Sin Información;wivo;3230590801;3230590801
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;32990.00;16328;32.34;0.0011;Regular;Sin Información;wivo;3230476186;3230476186
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;32990.00;16328;32.34;0.0011;Regular;Sin Información;wivo;3230477339;3230477339
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;32990.00;16328;32.34;0.0011;Regular;Sin Información;wivo;3230580252;3230580252
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;32990.00;16328;32.34;0.0011;Regular;Sin Información;wivo;3230580195;3230580195
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;35990.00;16328;448.30;0.0148;Regular;Sin Información;wivo;3230528375;3230528375
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;35990.00;16328;448.30;0.0148;Regular;Sin Información;wivo;3230531884;3230531884
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;32990.00;16328;32.34;0.0011;Regular;Sin Información;wivo;3230559891;3230559891
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;32990.00;16328;32.34;0.0011;Regular;Entregado;wivo;3230580252;3230580252
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;32990.00;16328;32.34;0.0011;Regular;Entregado;wivo;3230591588;3230591588
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;35990.00;16328;448.30;0.0148;Regular;Entregado;wivo;3230531884;3230531884
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;32990.00;16328;32.34;0.0011;Regular;Entregado;wivo;3230559891;3230559891
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;32990.00;16328;32.34;0.0011;Regular;Entregado;wivo;3230506965;3230506965
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;32990.00;16328;32.34;0.0011;Regular;Entregado;wivo;3230477339;3230477339
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;32990.00;16328;32.34;0.0011;Regular;Entregado;wivo;3230476186;3230476186
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;32990.00;16328;32.34;0.0011;Regular;Entregado;wivo;3230580195;3230580195
2026-04-01;Falabella;R6323;Rascador de Gatos Petwoow 135x55x36;PetWoow;Cuidado y Refugios Gatos;1;35990.00;16328;448.30;0.0148;Regular;Entregado;wivo;3230528375;3230528375
